culture,sale_uid,sale_display_name
de_CH,de_CH421958,Balearen / Ibiza - Adults Only: Hotel Barcelo Portinatx 4*
de_CH,de_CH423127,Italien / Sardinien - Arbatax Borgo Cala Moresca
de_CH,de_CH423197,"Thailand / Khao Lak - Kantary Beach Khaolak 4*, Radisson Suites Bangkok Sukhumvit"
de_CH,de_CH422864,"Ägypten / Kairo, Luxor & Assuan - Gruppenrundreise: Sagenhafte Nilfahrt und Bestaunen der Pyramiden"
de_CH,de_CH423384,Dominikanische Republik / Punta Cana - Impressive Premium Punta Cana 5*
de_CH,de_CH422799,Italien / Rom - Hotel 87
de_CH,de_CH422518,Marokko / Marrakesch - Tigmiza Boutique Hotel & Spa 5*
de_CH,de_CH423045,Griechenland / in der Nähe des Olymp - Dion Palace Resort & Spa 5*
de_CH,de_CH423302,Griechenland / Santorini - Ble Suites Santorini
de_CH,de_CH423049,Türkei / Side - Sentido Kamelya Selin
de_CH,de_CH422833,Kanaren / Teneriffa - Adults only: Barceló Santiago 4*
de_CH,de_CH421530,Schweiz / Davos - AlpenGold Hotel 5*
de_CH,de_CH423229,Italien / Toskana - Park Hotel Marinetta
de_CH,de_CH422595,Indischer Ozean / Malediven - The Residence Maldives at Falhumaafushi
de_CH,de_CH422756,"Indischer Ozean / Seychellen - W Doha, Laila Resort Seychelles 4*"
de_CH,de_CH422928,Spanien / Sevilla - H10 Corregidor Boutique Hotel
de_CH,de_CH422194,Balearen / Mallorca - VIVA Cala Mesquida Suites & Spa Adults Only 16+
de_CH,de_CH423292,"Bali / Ubud & Jimbaran - The Payogan Villa Resort and Spa 4*, Ombak Sunset 4*, The Leaf Jimbaran Luxury Villas 5*"
de_CH,de_CH423136,"Bali / Ubud, Lombok & Sanur - Rundreise in Eigenregie: Tempel, Traumstrände & tropisches Glück"
de_CH,de_CH422661,Dominikanische Republik / Punta Cana - Dreams Cap Cana 5*
de_CH,de_CH422905,Italien / Sardinien - Li Cucutti 4*
de_CH,de_CH422995,Griechenland / Halkidiki - Adults Only: Domes Noruz Kassandra 5*
de_CH,de_CH422883,Italien / Dolomiten - Hotel Sporting Ravelli 4*
de_CH,de_CH422900,"Kenia / Masai Mara, Amboseli & Malindi - Kenya's Majestic Safari Escapes, Ocean Beach Resort & Spa"
de_CH,de_CH423014,Italien / Kalabrien - Tonicello Resort & SPA
de_CH,de_CH422759,Italien / Sizilien   - Residenze Archimede 4*
de_CH,de_CH423107,Mexiko / Tulum - Secrets Tulum Resort & Beach Club 5*
de_CH,de_CH422448,Türkei / Istanbul  - Sheraton Istanbul City Center 5*
de_CH,de_CH423340,Oman / Maskat - Mysk Al Mouj Hotel
de_CH,de_CH422497,Tschechien / Prag - Red & Blue Design Hotel Prague
de_CH,de_CH423004,Spanien / Costa Brava - GHT Costa Brava
de_CH,de_CH422857,Griechenland / Kreta - Kimpton La Mer Resort & Spa 5*
de_CH,de_CH423352,"Frankreich / Korsika - Sardinia Ferries - Savone / Bastia über Nacht, Hotel San Lucianu , Sardinia Ferries - Bastia / Savone über Nacht"
de_CH,de_CH422541,Tunesien / Sousse - Movenpick Marine Sousse
de_CH,de_CH423263,Tunesien / Sousse - Marhaba Club
de_CH,de_CH422994,Griechenland / Kreta - Esperides Resort Crete - The Authentic Experience 5*
de_CH,de_CH423305,Island / Reykjavik - Centerhotel Midgardur
de_CH,de_CH422901,Indischer Ozean / Malediven - Adults Only: You&Me by Cocoon Maldives 5*
de_CH,de_CH423183,"Südsee / Tahiti, Bora Bora, Huahine - 7 NIGHTS CRUISES Tahiti and Islands of French Polynesia, Te Moana Tahiti Resort"
de_CH,de_CH422874,"Kuba / Havanna, Cienfuegos, Cayo Santa Maria - Private Rundreise: Entdeckung Kubas in 7-14 Nächten"
de_CH,de_CH417661,Vereinigte Arabische Emirate / Dubai  - JA Beach Hotel
de_CH,de_CH422890,Oman / Maskat - Kempinski Muscat
de_CH,de_CH422837,"Uganda / Hoima, Bwindi & Lake Mburo  - Private Rundreise: Perle Afrikas mit Gorilla-Beobachtung"
de_CH,de_CH419641,Ägypten / Marsa Alam - True Beach Resort 5*
de_CH,de_CH422971,Italien / Sizilien   - Principe di Belmonte Hotel
de_CH,de_CH422611,"Italien / Apulien - APULIA HOTELS - VIGNE AL CASTELLO, White Hotel 4*"
